Beat1,Beat2,Correlation
1215,1232,0.323766364
1232,1215,0.323766364
911,2112,0.323385139
2112,911,0.323385139
2111,911,0.323273737
911,2111,0.323273737
2312,1322,0.322780283
1322,2312,0.322780283
911,2113,0.322471991
2113,911,0.322471991
1333,2322,0.322210254
2322,1333,0.322210254
1921,1914,0.322103664
1914,1921,0.322103664
1324,2133,0.322029367
2133,1324,0.322029367
1312,1211,0.321912684
1211,1312,0.321912684
1211,1324,0.321232424
1324,1211,0.321232424
2111,825,0.320920904
825,2111,0.320920904
1312,233,0.320649575
233,1312,0.320649575
1331,233,0.320595493
233,1331,0.320595493
2111,1322,0.320514461
1322,2111,0.320514461
2122,1322,0.319674593
1322,2122,0.319674593
1331,2323,0.319471875
2323,1331,0.319471875
1924,1925,0.319278976
1925,1924,0.319278976
235,1925,0.318751974
1925,235,0.318751974
1332,2111,0.318634461
2111,1332,0.318634461
134,1324,0.318466025
1324,134,0.318466025
1212,1323,0.317684261
1323,1212,0.317684261
2333,1322,0.317556395
1322,2333,0.317556395
1925,1921,0.316939498
1921,1925,0.316939498
1921,225,0.316769224
225,1921,0.316769224
1322,2113,0.316072499
2113,1322,0.316072499
1322,2133,0.315413593
2133,1322,0.315413593
1934,235,0.315055541
235,1934,0.315055541
911,134,0.314527385
134,911,0.314527385
825,2311,0.313994663
2311,825,0.313994663
212,1934,0.312858305
1934,212,0.312858305
1332,2324,0.312855938
2324,1332,0.312855938
1322,2331,0.312763498
2331,1322,0.312763498
2313,1322,0.312644819
1322,2313,0.312644819
1932,2332,0.312493655
2332,1932,0.312493655
1324,233,0.312428367
233,1324,0.312428367
1211,1332,0.312232466
1332,1211,0.312232466
2131,1332,0.311804495
1332,2131,0.311804495
2311,1932,0.311514025
1932,2311,0.311514025
1935,1921,0.311443779
1921,1935,0.311443779
1431,1323,0.311033403
1323,1431,0.311033403
121,215,0.310557539
215,121,0.310557539
911,2322,0.310413759
2322,911,0.310413759
825,1331,0.310029981
1331,825,0.310029981
1932,2123,0.308752607
2123,1932,0.308752607
832,1323,0.308436193
1323,832,0.308436193
1332,2133,0.307849614
2133,1332,0.307849614
2133,911,0.307162829
911,2133,0.307162829
132,1322,0.305588311
1322,132,0.305588311
2333,825,0.305503772
825,2333,0.305503772
2132,1932,0.305461569
1932,2132,0.305461569
912,2312,0.304347727
2312,912,0.304347727
1211,1322,0.304037592
1322,1211,0.304037592
2124,825,0.303840674
825,2124,0.303840674
231,1935,0.303739293
1935,231,0.303739293
1331,832,0.303652495
832,1331,0.303652495
225,231,0.303565393
231,225,0.303565393
121,1921,0.30345795
1921,121,0.30345795
235,121,0.303102439
121,235,0.303102439
2123,912,0.303037387
912,2123,0.303037387
1923,1924,0.302708192
1924,1923,0.302708192
1322,2112,0.302488045
2112,1322,0.302488045
1323,825,0.301735372
825,1323,0.301735372
215,212,0.301072618
212,215,0.301072618
235,1915,0.300999613
1915,235,0.300999613
1324,825,0.300560698
825,1324,0.300560698
2311,912,0.300321849
912,2311,0.300321849
825,2324,0.300005871
2324,825,0.300005871
1921,1915,0.298004338
1915,1921,0.298004338
825,2312,0.297993045
2312,825,0.297993045
1332,2322,0.297875007
2322,1332,0.297875007
212,1925,0.297334366
1925,212,0.297334366
112,225,0.297091885
225,112,0.297091885
911,1333,0.296427872
1333,911,0.296427872
1311,832,0.296218975
832,1311,0.296218975
1935,212,0.295667039
212,1935,0.295667039
2322,1322,0.295315912
1322,2322,0.295315912
1323,911,0.295037679
911,1323,0.295037679
2122,1932,0.294691781
1932,2122,0.294691781
1332,134,0.294433633
134,1332,0.294433633
911,2323,0.294001849
2323,911,0.294001849
1324,911,0.293613074
911,1324,0.293613074
1915,231,0.293447059
231,1915,0.293447059
1221,225,0.293357869
225,1221,0.293357869
1832,1323,0.293323123
1323,1832,0.293323123
1915,212,0.292642465
212,1915,0.292642465
231,1934,0.292511558
1934,231,0.292511558
1332,132,0.292341475
132,1332,0.292341475
2313,825,0.292176355
825,2313,0.292176355
225,212,0.291827808
212,225,0.291827808
1523,1331,0.291560216
1331,1523,0.291560216
1935,114,0.291445445
114,1935,0.291445445
233,911,0.291204129
911,233,0.291204129
132,911,0.291122979
911,132,0.291122979
231,215,0.289858997
215,231,0.289858997
1932,2131,0.289497172
2131,1932,0.289497172
121,212,0.289432226
212,121,0.289432226
225,235,0.288843544
235,225,0.288843544
1211,1333,0.288387683
1333,1211,0.288387683
1312,825,0.288374174
825,1312,0.288374174
424,1311,0.288232416
1311,424,0.288232416
825,132,0.286776301
132,825,0.286776301
112,1915,0.286361617
1915,112,0.286361617
1914,114,0.286300551
114,1914,0.286300551
112,121,0.28580455
121,112,0.28580455
1323,935,0.285724304
935,1323,0.285724304
225,1225,0.28564977
1225,225,0.28564977
233,1322,0.285072615
1322,233,0.285072615
2112,912,0.285059421
912,2112,0.285059421
1332,2323,0.284551684
2323,1332,0.284551684
215,1915,0.284276172
1915,215,0.284276172
212,235,0.283285845
235,212,0.283285845
1333,233,0.283005773
233,1333,0.283005773
1921,235,0.280619698
235,1921,0.280619698
832,1313,0.280440593
1313,832,0.280440593
2124,912,0.27933276
912,2124,0.27933276
